location,zip,Unique Neighborhoods,Unique Zip Code,date,time,offenseCatagory,crimeSeverity,uniqueOffenses,severityIndex,offenseType,count,matchingZips
Buckman East,97214,,,3/31/20,1700,Larceny Offenses,5,,,Theft of Motor Vehicle Parts or Accessories,1,
Buckman East,97214,,,5/7/20,2200,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Buckman East,97214,,,4/27/20,439,Vandalism,4,,,Vandalism,1,
Buckman East,97214,,,5/7/20,2020,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Buckman East,97214,,,9/21/20,1130,Larceny Offenses,5,,,Theft of Motor Vehicle Parts or Accessories,1,
Buckman East,97214,,,4/27/20,300,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Buckman East,97214,,,8/30/20,200,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Buckman East,97214,,,10/8/20,1600,Burglary,10,,,Burglary,1,
Buckman East,97214,,,3/19/20,1605,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Buckman East,97214,,,4/6/20,1015,Vandalism,4,,,Vandalism,1,
Brooklyn,97202,,,3/15/20,1700,Burglary,10,,,Burglary,1,
Sellwood-Moreland,97202,,,10/29/20,1700,Assault Offenses,10,,,Simple Assault,1,
Hosford-Abernethy,97202,,,10/27/20,1145,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Hosford-Abernethy,97202,,,2/19/20,1645,Vandalism,4,,,Vandalism,1,
Hosford-Abernethy,97202,,,7/16/20,1615,Larceny Offenses,5,,,All Other Larceny,1,
Brooklyn,97202,,,3/9/20,1700,Larceny Offenses,5,,,Theft From Building,1,
Brooklyn,97202,,,8/12/20,1900,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Hosford-Abernethy,97202,,,1/30/20,1509,Assault Offenses,10,,,Aggravated Assault,1,
Hosford-Abernethy,97202,,,1/30/20,1509,Assault Offenses,10,,,Intimidation,1,
Hosford-Abernethy,97202,,,3/2/20,2100,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Hosford-Abernethy,97202,,,1/4/20,816,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Buckman West,97214,,,1/17/20,745,Assault Offenses,10,,,Simple Assault,1,
Buckman West,97214,,,2/8/20,2134,Assault Offenses,10,,,Aggravated Assault,1,
Buckman West,97214,,,10/1/20,1217,Vandalism,4,,,Vandalism,1,
Buckman West,97214,,,11/7/20,1344,Assault Offenses,10,,,Simple Assault,1,
Hosford-Abernethy,97202,,,5/12/20,1800,Vandalism,4,,,Vandalism,1,
Hosford-Abernethy,97202,,,7/3/20,1500,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Buckman East,97214,,,4/27/20,427,Burglary,10,,,Burglary,1,
Brooklyn,97202,,,4/30/20,1620,Larceny Offenses,5,,,All Other Larceny,1,
Sellwood-Moreland,97202,,,4/5/20,4,Larceny Offenses,5,,,All Other Larceny,1,
Sellwood-Moreland,97202,,,3/31/20,0,Vandalism,4,,,Vandalism,1,
Brooklyn,97202,,,7/19/20,1225,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Sellwood-Moreland,97202,,,9/21/20,1625,Fraud Offenses,1,,,Identity Theft,1,
Buckman East,97214,,,3/31/20,2200,Larceny Offenses,5,,,Theft of Motor Vehicle Parts or Accessories,1,
Buckman East,97214,,,3/20/20,2200,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Buckman East,97214,,,2/12/20,630,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Buckman East,97214,,,6/16/20,30,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Buckman East,97214,,,6/16/20,155,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Sellwood-Moreland,97202,,,2/29/20,1100,Vandalism,4,,,Vandalism,1,
Sellwood-Moreland,97202,,,4/20/20,1200,Counterfeiting/Forgery,1,,,Counterfeiting/Forgery,1,
Buckman West,97214,,,4/9/20,2042,Assault Offenses,10,,,Aggravated Assault,1,
Buckman West,97214,,,5/13/20,2348,Assault Offenses,10,,,Simple Assault,1,
Buckman West,97214,,,8/7/20,2011,Larceny Offenses,5,,,All Other Larceny,1,
Buckman East,97214,,,6/5/20,1800,Larceny Offenses,5,,,All Other Larceny,1,
Buckman East,97214,,,3/31/20,1400,Larceny Offenses,5,,,All Other Larceny,1,
Buckman East,97214,,,4/27/20,1115,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Sellwood-Moreland,97202,,,9/13/20,830,Larceny Offenses,5,,,Theft of Motor Vehicle Parts or Accessories,1,
Brooklyn,97202,,,8/30/20,1000,Larceny Offenses,5,,,Theft From Building,1,
Brooklyn,97202,,,9/16/20,231,Larceny Offenses,5,,,Theft From Building,1,
Brooklyn,97202,,,1/8/20,1100,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Brooklyn,97202,,,8/1/20,358,Burglary,10,,,Burglary,1,
Brooklyn,97202,,,10/9/20,1910,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Brooklyn,97202,,,9/12/20,1223,Larceny Offenses,5,,,All Other Larceny,1,
Sellwood-Moreland,97202,,,2/25/20,2230,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Buckman East,97214,,,2/1/20,530,Burglary,10,,,Burglary,1,
Buckman East,97214,,,2/4/20,1200,Counterfeiting/Forgery,1,,,Counterfeiting/Forgery,1,
Buckman East,97214,,,2/4/20,1200,Embezzlement,2,,,Embezzlement,1,
Buckman East,97214,,,8/29/20,422,Burglary,10,,,Burglary,1,
