location,zip,Unique Neighborhoods,Unique Zip Code,date,time,offenseCatagory,crimeSeverity,uniqueOffenses,severityIndex,offenseType,count,matchingZips
Lents,97266,,,9/5/20,1805,Larceny Offenses,5,,,Theft From Building,1,
Lents,97266,,,9/22/20,1830,Larceny Offenses,5,,,Theft From Building,1,
Lents,97266,,,10/12/20,1500,Vandalism,4,,,Vandalism,1,
Lents,97266,,,11/9/20,1804,Larceny Offenses,5,,,Shoplifting,1,
Lents,97266,,,11/9/20,1730,Fraud Offenses,1,,,Identity Theft,1,
Lents,97266,,,7/16/20,2205,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Lents,97266,,,1/3/20,2155,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Lents,97266,,,11/14/20,638,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Lents,97266,,,6/24/20,1441,Burglary,10,,,Burglary,1,
Lents,97266,,,2/9/20,2114,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Lents,97266,,,10/6/20,1640,Fraud Offenses,1,,,False Pretenses/Swindle/Confidence Game,1,
Lents,97266,,,3/21/20,1505,Larceny Offenses,5,,,All Other Larceny,1,
Lents,97266,,,1/5/20,0,Fraud Offenses,1,,,Identity Theft,1,
Powellhurst-Gilbert,97236,,,4/19/20,2100,Larceny Offenses,5,,,All Other Larceny,1,
Powellhurst-Gilbert,97236,,,8/15/20,1210,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Powellhurst-Gilbert,97236,,,1/25/20,221,Burglary,10,,,Burglary,1,
Powellhurst-Gilbert,97236,,,3/22/20,1402,Vandalism,4,,,Vandalism,1,
Powellhurst-Gilbert,97236,,,4/1/20,2149,Vandalism,4,,,Vandalism,1,
Powellhurst-Gilbert,97236,,,4/20/20,217,Larceny Offenses,5,,,All Other Larceny,1,
Powellhurst-Gilbert,97236,,,5/28/20,1936,Assault Offenses,10,,,Intimidation,1,
Powellhurst-Gilbert,97236,,,7/12/20,1159,Larceny Offenses,5,,,All Other Larceny,1,
Powellhurst-Gilbert,97236,,,7/28/20,839,Fraud Offenses,1,,,Wire Fraud,1,
Powellhurst-Gilbert,97236,,,10/15/20,1800,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Powellhurst-Gilbert,97236,,,9/1/20,1401,Larceny Offenses,5,,,All Other Larceny,1,
Powellhurst-Gilbert,97236,,,4/17/20,1946,Fraud Offenses,1,,,False Pretenses/Swindle/Confidence Game,1,
Powellhurst-Gilbert,97236,,,4/5/20,1358,Larceny Offenses,5,,,All Other Larceny,1,
Powellhurst-Gilbert,97236,,,5/7/20,1730,Larceny Offenses,5,,,All Other Larceny,1,
Powellhurst-Gilbert,97236,,,5/4/20,1140,Larceny Offenses,5,,,All Other Larceny,1,
Powellhurst-Gilbert,97236,,,6/11/20,540,Larceny Offenses,5,,,All Other Larceny,1,
Powellhurst-Gilbert,97236,,,9/8/20,1200,Larceny Offenses,5,,,All Other Larceny,1,
Powellhurst-Gilbert,97236,,,10/3/20,205,Larceny Offenses,5,,,Theft From Building,1,
Powellhurst-Gilbert,97236,,,10/4/20,1500,Larceny Offenses,5,,,All Other Larceny,1,
Powellhurst-Gilbert,97236,,,10/22/20,430,Larceny Offenses,5,,,Theft From Building,1,
Powellhurst-Gilbert,97236,,,10/2/20,2200,Fraud Offenses,1,,,False Pretenses/Swindle/Confidence Game,1,
Powellhurst-Gilbert,97236,,,6/26/20,237,Assault Offenses,10,,,Aggravated Assault,1,
Powellhurst-Gilbert,97236,,,6/26/20,237,Vandalism,4,,,Vandalism,1,
Powellhurst-Gilbert,97236,,,2/3/20,1819,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Powellhurst-Gilbert,97236,,,2/26/20,30,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Powellhurst-Gilbert,97236,,,5/26/20,1400,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Sunnyside,97214,,,5/23/20,2330,Fraud Offenses,1,,,Credit Card/ATM Fraud,1,
Sunnyside,97214,,,5/23/20,2330,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Sunnyside,97214,,,10/25/20,700,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Sunnyside,97214,,,11/25/20,1700,Burglary,10,,,Burglary,1,
Centennial,97233,,,3/21/20,2359,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Centennial,97233,,,1/14/20,2202,Vandalism,4,,,Vandalism,1,
Centennial,97233,,,8/12/20,1100,Larceny Offenses,5,,,All Other Larceny,1,
Laurelhurst,97232,,,9/22/20,845,Fraud Offenses,1,,,Identity Theft,1,
Sunnyside,97214,,,3/1/20,2030,Burglary,10,,,Burglary,1,
Sunnyside,97214,,,2/21/20,1700,Burglary,10,,,Burglary,1,
Sunnyside,97214,,,6/26/20,630,Burglary,10,,,Burglary,1,
Sunnyside,97214,,,10/16/20,2015,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Sunnyside,97214,,,7/20/20,100,Vandalism,4,,,Vandalism,1,
Sunnyside,97214,,,9/14/20,1840,Larceny Offenses,5,,,All Other Larceny,1,
Sunnyside,97214,,,10/17/20,1500,Burglary,10,,,Burglary,1,
Sunnyside,97214,,,10/19/20,1620,Burglary,10,,,Burglary,1,
Woodstock,97206,,,3/26/20,1300,Larceny Offenses,5,,,All Other Larceny,1,
Woodstock,97206,,,11/15/20,1330,Fraud Offenses,1,,,False Pretenses/Swindle/Confidence Game,1,
Creston-Kenilworth,97202,,,6/8/20,809,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Creston-Kenilworth,97202,,,9/1/20,0,Larceny Offenses,5,,,All Other Larceny,1,
Richmond,97214,,,3/9/20,1,Burglary,10,,,Burglary,1,
Creston-Kenilworth,97202,,,10/12/20,1455,Larceny Offenses,5,,,All Other Larceny,1,
Richmond,97214,,,10/23/20,856,Vandalism,4,,,Vandalism,1,
Woodstock,97206,,,10/17/20,1600,Burglary,10,,,Burglary,1,
Woodstock,97206,,,10/28/20,1518,Assault Offenses,10,,,Simple Assault,1,
Sunnyside,97214,,,1/18/20,800,Larceny Offenses,5,,,Pocket-Picking,1,
Creston-Kenilworth,97202,,,6/7/20,1040,Vandalism,4,,,Vandalism,1,
Woodstock,97206,,,1/22/20,2000,Fraud Offenses,1,,,Credit Card/ATM Fraud,1,
Woodstock,97206,,,1/22/20,2000,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Richmond,97214,,,3/31/20,830,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Woodstock,97206,,,6/8/20,830,Fraud Offenses,1,,,False Pretenses/Swindle/Confidence Game,1,
Brooklyn,97202,,,8/30/20,1000,Vandalism,4,,,Vandalism,1,
Woodstock,97206,,,4/16/20,752,Fraud Offenses,1,,,False Pretenses/Swindle/Confidence Game,1,
Woodstock,97206,,,10/14/20,2020,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Woodstock,97206,,,10/8/20,1800,Larceny Offenses,5,,,Theft of Motor Vehicle Parts or Accessories,1,
Woodstock,97206,,,7/25/20,2100,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Woodstock,97206,,,11/10/20,1350,Fraud Offenses,1,,,Hacking/Computer Invasion,1,
Woodstock,97206,,,11/10/20,1350,Larceny Offenses,5,,,All Other Larceny,1,
Woodstock,97206,,,2/28/20,1000,Larceny Offenses,5,,,All Other Larceny,1,
Woodstock,97206,,,4/27/20,1830,Fraud Offenses,1,,,False Pretenses/Swindle/Confidence Game,1,
Woodstock,97206,,,9/24/20,1240,Vandalism,4,,,Vandalism,1,
Woodstock,97206,,,11/5/20,30,Larceny Offenses,5,,,All Other Larceny,1,
Creston-Kenilworth,97202,,,6/14/20,145,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Creston-Kenilworth,97202,,,9/23/20,2253,Assault Offenses,10,,,Aggravated Assault,1,
Creston-Kenilworth,97202,,,9/23/20,2253,Vandalism,4,,,Vandalism,1,
Sunnyside,97214,,,6/10/20,1351,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Woodstock,97206,,,9/21/20,2215,Vandalism,4,,,Vandalism,1,
Woodstock,97206,,,6/16/20,1030,Fraud Offenses,1,,,False Pretenses/Swindle/Confidence Game,1,
Sunnyside,97214,,,10/7/20,100,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Sunnyside,97214,,,10/10/20,2200,Larceny Offenses,5,,,Theft of Motor Vehicle Parts or Accessories,1,
Woodstock,97206,,,6/23/20,1533,Larceny Offenses,5,,,Shoplifting,1,
Woodstock,97206,,,7/25/20,1534,Larceny Offenses,5,,,All Other Larceny,1,
Woodstock,97206,,,7/28/20,1040,Larceny Offenses,5,,,All Other Larceny,1,
Woodstock,97206,,,2/12/20,1600,Fraud Offenses,1,,,Identity Theft,1,
Woodstock,97206,,,8/31/20,116,Larceny Offenses,5,,,Shoplifting,1,
Richmond,97214,,,9/21/20,101,Vandalism,4,,,Vandalism,1,
Sunnyside,97214,,,7/13/20,100,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Sunnyside,97214,,,7/24/20,2000,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Sunnyside,97214,,,9/28/20,2200,Larceny Offenses,5,,,All Other Larceny,1,
Sunnyside,97214,,,10/14/19,840,Fraud Offenses,1,,,Identity Theft,1,
Sunnyside,97214,,,7/4/20,200,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Bridlemile,97221,,,6/13/20,1345,Fraud Offenses,1,,,Identity Theft,1,
West Portland Park,97219,,,10/11/20,2147,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Ashcreek,97219,,,4/24/20,423,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Southwest Hills,97201,,,11/12/20,503,Arson,10,,,Arson,1,
Hayhurst,97221,,,5/12/20,1034,Larceny Offenses,5,,,All Other Larceny,1,
Bridlemile,97221,,,7/15/20,1630,Larceny Offenses,5,,,Theft of Motor Vehicle Parts or Accessories,1,
Bridlemile,97221,,,5/28/20,300,Vandalism,4,,,Vandalism,1,
Healy Heights,97239,,,8/16/20,2130,Vandalism,4,,,Vandalism,1,
Homestead,97239,,,7/30/14,1300,Fraud Offenses,1,,,Identity Theft,1,
Homestead,97239,,,10/11/20,430,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
South Portland,97222,,,5/6/20,0,Larceny Offenses,5,,,All Other Larceny,1,
West Portland Park,97219,,,3/19/20,100,Vandalism,4,,,Vandalism,1,
West Portland Park,97219,,,9/13/20,550,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
West Portland Park,97219,,,9/23/20,1900,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
West Portland Park,97219,,,11/6/20,1830,Vandalism,4,,,Vandalism,1,
Multnomah,97219,,,7/12/20,2040,Assault Offenses,10,,,Simple Assault,1,
Hayhurst,97221,,,4/27/20,200,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Multnomah,97219,,,8/4/20,1305,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Healy Heights,97239,,,5/29/20,1130,Burglary,10,,,Burglary,1,
Homestead,97239,,,6/14/20,1700,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Homestead,97239,,,9/1/20,0,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Homestead,97239,,,8/5/20,400,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Homestead,97239,,,10/9/20,2330,Larceny Offenses,5,,,Theft of Motor Vehicle Parts or Accessories,1,
Bridlemile,97221,,,11/27/20,1800,Burglary,10,,,Burglary,1,
Humboldt,97217,,,8/16/20,300,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Humboldt,97217,,,7/31/20,145,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Humboldt,97217,,,7/29/20,100,Larceny Offenses,5,,,All Other Larceny,1,
Humboldt,97217,,,10/27/20,440,Larceny Offenses,5,,,Theft of Motor Vehicle Parts or Accessories,1,
Portsmouth,97203,,,7/31/20,859,Larceny Offenses,5,,,Theft of Motor Vehicle Parts or Accessories,1,
Portsmouth,97203,,,10/7/20,2335,Vandalism,4,,,Vandalism,1,
Overlook,97227,,,6/13/20,1949,Larceny Offenses,5,,,Theft From Building,1,
Overlook,97227,,,7/9/20,1137,Assault Offenses,10,,,Aggravated Assault,1,
Overlook,97227,,,11/18/20,2358,Vandalism,4,,,Vandalism,1,
Humboldt,97217,,,10/31/20,207,Larceny Offenses,5,,,All Other Larceny,1,
Portsmouth,97203,,,2/11/20,5,Assault Offenses,10,,,Aggravated Assault,1,
University Park,97203,,,3/21/20,335,Assault Offenses,10,,,Simple Assault,1,
Overlook,97227,,,2/8/20,1845,Vandalism,4,,,Vandalism,1,
Overlook,97227,,,6/23/20,2347,Assault Offenses,10,,,Aggravated Assault,1,
Overlook,97227,,,5/8/20,1030,Drug/Narcotic Offenses,4,,,Drug/Narcotic Violations,1,
St Johns,97203,,,4/7/20,1453,Larceny Offenses,5,,,All Other Larceny,1,
Portsmouth,97203,,,5/11/20,700,Vandalism,4,,,Vandalism,1,
Humboldt,97217,,,1/6/20,1805,Larceny Offenses,5,,,Shoplifting,1,
Humboldt,97217,,,1/24/20,1726,Larceny Offenses,5,,,Shoplifting,1,
Humboldt,97217,,,2/12/20,1242,Larceny Offenses,5,,,Shoplifting,1,
Humboldt,97217,,,5/28/20,1250,Larceny Offenses,5,,,Shoplifting,1,
Humboldt,97217,,,7/2/20,140,Burglary,10,,,Burglary,1,
Humboldt,97217,,,11/7/20,1500,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Humboldt,97217,,,5/21/20,1855,Larceny Offenses,5,,,Shoplifting,1,
Humboldt,97217,,,6/11/20,1229,Larceny Offenses,5,,,Shoplifting,1,
Humboldt,97217,,,6/27/20,1857,Larceny Offenses,5,,,Shoplifting,1,
Humboldt,97217,,,8/18/20,1650,Larceny Offenses,5,,,Shoplifting,1,
Humboldt,97217,,,8/27/20,1822,Larceny Offenses,5,,,Shoplifting,1,
Humboldt,97217,,,8/9/20,1658,Larceny Offenses,5,,,Shoplifting,1,
Humboldt,97217,,,7/29/20,1640,Larceny Offenses,5,,,Shoplifting,1,
Humboldt,97217,,,8/18/20,1645,Larceny Offenses,5,,,Shoplifting,1,
Humboldt,97217,,,9/14/20,1857,Larceny Offenses,5,,,Shoplifting,1,
Humboldt,97217,,,9/21/20,1700,Larceny Offenses,5,,,Shoplifting,1,
Humboldt,97217,,,9/30/20,1500,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
King,97211,,,8/30/20,600,Fraud Offenses,1,,,False Pretenses/Swindle/Confidence Game,1,
King,97211,,,10/10/20,2200,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
King,97211,,,11/4/20,300,Larceny Offenses,5,,,Theft of Motor Vehicle Parts or Accessories,1,
King,97211,,,8/31/20,1636,Larceny Offenses,5,,,All Other Larceny,1,
Sabin,97211,,,9/14/20,1400,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Sabin,97211,,,4/22/20,1120,Weapon Law Violations,6,,,Weapons Law Violations,1,
Sabin,97211,,,3/11/20,1900,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Sabin,97211,,,1/8/20,1700,Larceny Offenses,5,,,Theft of Motor Vehicle Parts or Accessories,1,
Sabin,97211,,,6/1/18,855,Fraud Offenses,1,,,Identity Theft,1,
Sabin,97211,,,5/4/20,1115,Larceny Offenses,5,,,All Other Larceny,1,
Sabin,97211,,,2/13/20,230,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Sabin,97211,,,2/20/20,1800,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Sabin,97211,,,8/10/20,430,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Alameda,97212,,,9/3/20,600,Larceny Offenses,5,,,All Other Larceny,1,
Alameda,97212,,,11/15/20,2334,Larceny Offenses,5,,,All Other Larceny,1,
Alameda,97212,,,6/28/20,2200,Larceny Offenses,5,,,All Other Larceny,1,
Alameda,97212,,,8/15/20,100,Larceny Offenses,5,,,Theft of Motor Vehicle Parts or Accessories,1,
Beaumont-Wilshire,97212,,,1/21/20,1830,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Beaumont-Wilshire,97212,,,4/12/20,2230,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Beaumont-Wilshire,97212,,,5/1/20,100,Vandalism,4,,,Vandalism,1,
Beaumont-Wilshire,97212,,,9/22/20,2000,Vandalism,4,,,Vandalism,1,
Beaumont-Wilshire,97212,,,11/12/20,1855,Larceny Offenses,5,,,All Other Larceny,1,
Beaumont-Wilshire,97212,,,6/25/20,1537,Vandalism,4,,,Vandalism,1,
Beaumont-Wilshire,97212,,,10/28/20,0,Vandalism,4,,,Vandalism,1,
Cully,97218,,,11/25/20,950,Larceny Offenses,5,,,All Other Larceny,1,
Roseway,97213,,,2/8/20,2345,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Roseway,97213,,,7/16/20,35,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Roseway,97213,,,10/24/20,600,Larceny Offenses,5,,,All Other Larceny,1,
Roseway,97213,,,4/12/20,100,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Roseway,97213,,,10/2/20,0,Larceny Offenses,5,,,All Other Larceny,1,
Roseway,97213,,,3/27/20,2300,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Roseway,97213,,,3/27/20,2205,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Roseway,97213,,,10/18/20,825,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Roseway,97213,,,10/23/20,1030,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Roseway,97213,,,8/21/20,40,Vandalism,4,,,Vandalism,1,
Roseway,97213,,,7/20/20,1845,Larceny Offenses,5,,,All Other Larceny,1,
Roseway,97213,,,6/16/20,2200,Burglary,10,,,Burglary,1,
Roseway,97213,,,5/19/20,800,Larceny Offenses,5,,,All Other Larceny,1,
Roseway,97213,,,2/1/20,1346,Larceny Offenses,5,,,All Other Larceny,1,
Roseway,97213,,,4/1/20,1730,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Roseway,97213,,,11/12/20,426,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Roseway,97213,,,6/20/20,945,Vandalism,4,,,Vandalism,1,
Sumner,97220,,,4/13/20,901,Fraud Offenses,1,,,Identity Theft,1,
Sumner,97220,,,4/13/20,901,Drug/Narcotic Offenses,4,,,Drug/Narcotic Violations,1,
Sumner,97220,,,11/16/20,322,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Sumner,97220,,,4/29/20,900,Larceny Offenses,5,,,Theft of Motor Vehicle Parts or Accessories,1,
Sumner,97220,,,9/5/20,0,Fraud Offenses,1,,,Credit Card/ATM Fraud,1,
Sumner,97220,,,8/19/20,1220,Larceny Offenses,5,,,All Other Larceny,1,
Sumner,97220,,,6/13/20,1200,Burglary,10,,,Burglary,1,
Sumner,97220,,,7/28/20,1914,Assault Offenses,10,,,Simple Assault,1,
Sumner,97220,,,7/28/20,1914,Vandalism,4,,,Vandalism,1,
Sumner,97220,,,3/27/20,300,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Sumner,97220,,,5/25/20,452,Larceny Offenses,5,,,All Other Larceny,1,
Parkrose,97220,,,11/5/20,2100,Burglary,10,,,Burglary,1,
Parkrose,97220,,,9/28/20,1958,Larceny Offenses,5,,,Theft of Motor Vehicle Parts or Accessories,1,
Parkrose,97220,,,10/22/20,2100,Larceny Offenses,5,,,All Other Larceny,1,
Parkrose,97220,,,3/7/20,320,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Argay,97230,,,1/16/20,100,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Argay,97230,,,5/12/20,2052,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Argay,97230,,,6/30/20,1700,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Argay,97230,,,6/14/20,330,Vandalism,4,,,Vandalism,1,
Argay,97230,,,6/14/20,2100,Burglary,10,,,Burglary,1,
Argay,97230,,,6/19/20,1435,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Argay,97230,,,10/30/20,1535,Larceny Offenses,5,,,Theft of Motor Vehicle Parts or Accessories,1,
Argay,97230,,,12/31/19,1700,Vandalism,4,,,Vandalism,1,
Argay,97230,,,1/16/20,550,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Argay,97230,,,6/17/20,2000,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Argay,97230,,,7/3/20,923,Larceny Offenses,5,,,All Other Larceny,1,
Argay,97230,,,8/14/20,2200,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Argay,97230,,,11/13/20,1330,Larceny Offenses,5,,,Theft of Motor Vehicle Parts or Accessories,1,
Argay,97230,,,2/22/20,524,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Cully,97218,,,9/27/20,1945,Burglary,10,,,Burglary,1,
Cully,97218,,,1/29/20,1700,Larceny Offenses,5,,,Theft of Motor Vehicle Parts or Accessories,1,
Laurelhurst,97232,,,4/15/20,349,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Cully,97218,,,3/27/20,1606,Larceny Offenses,5,,,Shoplifting,1,
Cully,97218,,,5/6/20,1921,Larceny Offenses,5,,,Shoplifting,1,
Cully,97218,,,5/18/20,1808,Robbery,8,,,Robbery,1,
Cully,97218,,,5/27/20,1338,Assault Offenses,10,,,Simple Assault,1,
Cully,97218,,,4/12/20,1935,Burglary,10,,,Burglary,1,
Laurelhurst,97232,,,2/18/20,1746,Burglary,10,,,Burglary,1,
Laurelhurst,97232,,,9/19/20,2200,Vandalism,4,,,Vandalism,1,
Laurelhurst,97232,,,9/20/20,205,Vandalism,4,,,Vandalism,1,
Laurelhurst,97232,,,11/20/20,2115,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Beaumont-Wilshire,97212,,,6/3/20,1120,Fraud Offenses,1,,,Identity Theft,1,
Beaumont-Wilshire,97212,,,6/3/20,1120,Larceny Offenses,5,,,Theft From Building,1,
Beaumont-Wilshire,97212,,,6/22/20,40,Vandalism,4,,,Vandalism,1,
Beaumont-Wilshire,97212,,,11/27/20,1100,Vandalism,4,,,Vandalism,1,
Beaumont-Wilshire,97212,,,6/22/20,1200,Larceny Offenses,5,,,Shoplifting,1,
Beaumont-Wilshire,97212,,,8/11/20,1100,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
King,97211,,,1/19/20,100,Larceny Offenses,5,,,All Other Larceny,1,
Cully,97218,,,10/11/20,1615,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Hollywood,97212,,,9/8/20,1200,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Laurelhurst,97232,,,4/3/20,2100,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Laurelhurst,97232,,,11/5/20,1610,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Laurelhurst,97232,,,3/25/20,2200,Larceny Offenses,5,,,Theft of Motor Vehicle Parts or Accessories,1,
Cully,97218,,,7/20/20,1845,Burglary,10,,,Burglary,1,
Cully,97218,,,4/30/20,1400,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Cully,97218,,,10/13/20,1236,Robbery,8,,,Robbery,1,
Cully,97218,,,11/25/20,131,Vandalism,4,,,Vandalism,1,
Humboldt,97217,,,5/20/20,0,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Laurelhurst,97232,,,6/8/20,2300,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Laurelhurst,97232,,,7/31/20,2200,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Laurelhurst,97232,,,9/29/20,1650,Larceny Offenses,5,,,All Other Larceny,1,
Hollywood,97212,,,10/8/19,1525,Fraud Offenses,1,,,False Pretenses/Swindle/Confidence Game,1,
Hollywood,97212,,,1/10/20,1231,Larceny Offenses,5,,,Shoplifting,1,
Hollywood,97212,,,3/27/20,930,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Hollywood,97212,,,5/13/20,1220,Robbery,8,,,Robbery,1,
Hollywood,97212,,,7/12/20,1535,Larceny Offenses,5,,,Shoplifting,1,
Hollywood,97212,,,7/31/20,1700,Burglary,10,,,Burglary,1,
Hollywood,97212,,,11/20/20,2133,Vandalism,4,,,Vandalism,1,
Hollywood,97212,,,11/20/20,2156,Vandalism,4,,,Vandalism,1,
Hollywood,97212,,,11/20/20,2300,Vandalism,4,,,Vandalism,1,
Hollywood,97212,,,1/23/20,600,Larceny Offenses,5,,,All Other Larceny,1,
Hollywood,97212,,,12/27/19,1132,Fraud Offenses,1,,,False Pretenses/Swindle/Confidence Game,1,
Hollywood,97212,,,4/1/20,810,Larceny Offenses,5,,,All Other Larceny,1,
Hollywood,97212,,,9/14/20,500,Larceny Offenses,5,,,Shoplifting,1,
Hollywood,97212,,,10/1/20,1720,Larceny Offenses,5,,,Theft From Building,1,
Hollywood,97212,,,10/19/20,1845,Larceny Offenses,5,,,Shoplifting,1,
Hillside,97210,,,3/15/20,1730,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Hillside,97210,,,11/2/20,1515,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Northwest Industrial,97296,,,4/11/20,1300,Fraud Offenses,1,,,Credit Card/ATM Fraud,1,
Northwest Industrial,97296,,,4/11/20,1200,Fraud Offenses,1,,,False Pretenses/Swindle/Confidence Game,1,
Northwest Industrial,97296,,,4/11/20,1200,Fraud Offenses,1,,,Identity Theft,1,
Northwest Industrial,97296,,,9/19/20,1745,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
South Portland,97222,,,7/18/20,2010,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
South Portland,97222,,,9/17/20,2000,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
South Portland,97222,,,9/20/20,800,Vandalism,4,,,Vandalism,1,
South Portland,97222,,,7/9/20,719,Larceny Offenses,5,,,Theft of Motor Vehicle Parts or Accessories,1,
South Portland,97222,,,9/29/20,1054,Assault Offenses,10,,,Simple Assault,1,
South Portland,97222,,,9/29/20,1054,Larceny Offenses,5,,,All Other Larceny,1,
South Portland,97222,,,9/4/20,2200,Vandalism,4,,,Vandalism,1,
Brooklyn,97202,,,7/29/20,1800,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Brooklyn,97202,,,5/28/20,300,Fraud Offenses,1,,,Credit Card/ATM Fraud,1,
Brooklyn,97202,,,8/29/20,1008,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Creston-Kenilworth,97202,,,3/25/20,1257,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Creston-Kenilworth,97202,,,5/21/20,2200,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Creston-Kenilworth,97202,,,9/3/20,800,Larceny Offenses,5,,,All Other Larceny,1,
Creston-Kenilworth,97202,,,9/11/20,715,Vandalism,4,,,Vandalism,1,
Creston-Kenilworth,97202,,,4/18/20,1316,Fraud Offenses,1,,,Credit Card/ATM Fraud,1,
Creston-Kenilworth,97202,,,6/13/20,1500,Fraud Offenses,1,,,False Pretenses/Swindle/Confidence Game,1,
Creston-Kenilworth,97202,,,4/13/20,2300,Motor Vehicle Theft,10,,,Motor Vehicle Theft,1,
Creston-Kenilworth,97202,,,2/16/20,300,Larceny Offenses,5,,,Theft From Motor Vehicle,1,
Creston-Kenilworth,97202,,,7/19/20,1546,Assault Offenses,10,,,Simple Assault,1,
